20671,35,Data Structures and Algorithms II,4,11:45 AM–12:50 PM   MWF,,2017-01-03 to 2017-03-10,Open University Session,Ji, Hao,Lecture, Face-to-Face,
20672,35,Data Structures and Algorithms II,4,8:00 AM–9:50 AM   TuTh,,2017-01-03 to 2017-03-10,Open University Session,Afework, Joseph,Lecture, Face-to-Face,
11674,35,Programming Graphical User Interfaces,4,4:00 PM–5:50 PM   MW,3 2636,2017-01-03 to 2017-03-10,Regular Academic Session,Diaz, Tony,Lecture, Face-to-Face,
20674,35,Programming Graphical User Interfaces,4,4:00 PM–5:50 PM   MW,,2017-01-03 to 2017-03-10,Open University Session,Diaz, Tony,Lecture, Face-to-Face,
11677,35,C++ Programming,4,1:00 PM–2:50 PM   TuTh,3 2636,2017-01-03 to 2017-03-10,Regular Academic Session,McCune, Robert,Lecture, Face-to-Face,
11678,35,C++ Programming,4,6:00 PM–7:50 PM   MW,3 2636,2017-01-03 to 2017-03-10,Regular Academic Session,Gershman, David,Lecture, Face-to-Face,
20677,35,C++ Programming,4,1:00 PM–2:50 PM   TuTh,,2017-01-03 to 2017-03-10,Open University Session,McCune, Robert,Lecture, Face-to-Face,
20678,35,C++ Programming,4,6:00 PM–7:50 PM   MW,,2017-01-03 to 2017-03-10,Open University Session,Gershman, David,Lecture, Face-to-Face,
11679,35,Unix and Scripting,4,2:00 PM–3:50 PM   MW,3 2636,2017-01-03 to 2017-03-10,Regular Academic Session,Raheja, Amar,Lecture, Face-to-Face,
20679,35,Unix and Scripting,4,2:00 PM–3:50 PM   MW,,2017-01-03 to 2017-03-10,Open University Session,Raheja, Amar,Lecture, Face-to-Face,
11681,34,Computer Organization and Assembly Programming,4,3:00 PM–4:50 PM   TuTh,8 348,2017-01-03 to 2017-03-10,Regular Academic Session,Salloum, Salam,Lecture, Face-to-Face,
11682,35,Computer Organization and Assembly Programming,4,6:00 PM–7:50 PM   MW,8 302,2017-01-03 to 2017-03-10,Regular Academic Session,Davarpanah, Nima,Lecture, Face-to-Face,
20681,34,Computer Organization and Assembly Programming,4,3:00 PM–4:50 PM   TuTh,,2017-01-03 to 2017-03-10,Open University Session,Salloum, Salam,Lecture, Face-to-Face,
20682,35,Computer Organization and Assembly Programming,4,6:00 PM–7:50 PM   MW,,2017-01-03 to 2017-03-10,Open University Session,Davarpanah, Nima,Lecture, Face-to-Face,
11686,35,Special Topics for Lower Division Students,4,8:00 AM–9:05 AM   MWF,3 2636,2017-01-03 to 2017-03-10,Regular Academic Session,Yang, Lan,Lecture, Face-to-Face,
20686,35,Special Topics for Lower Division Students,4,8:00 AM–9:05 AM   MWF,,2017-01-03 to 2017-03-10,Open University Session,Yang, Lan,Lecture, Face-to-Face,
